ரேடியோ அதிர்வெண் முடுக்கிகள், துகள்கள் நேரடியாக முடுக்குகிறது.	Radio athirven mudikkigal, thugalkal neradiyaga mudukukirathu.
யூதர்களினதும், பெதூன்களும் உள்ளிட்ட பாலத்தீன அரேபியர்களதும் ஒரு டி.	Yoodhargalinadhum, pedhoongalum ullitta paalatheena arebiyargaladhum oru T.
பின்னர் பல மடங்கு உயரும் என்று மிகச் சிறிய எழுத்துக்களில் அடியில் எழுதியிருப்பர்.	Pinnar pala madangu uyarum enru migach chiriya ezhuthukkalil adiyil ezhudhiyiruppar.
எண்ணுரு முறைமை	ennuru muraimai
அதிலிருந்து தொடர்ந்த பள்ளிகளின் பங்கேற்பால், தேசிய பள்ளிகள் ஓட்ட நாள் உருவானது.	Adhilirundhu thodarndha palligalin pangerpaal, thesiya palligal otta naal uruvaanadhu.
1930 இன் பெரும் பொருளாதார மந்தத்தின் போது பல நாடுகள் இதைக் கடைப்பிடித்தன.	1930 in perum porulaadhaara mandhathin podhu pala naadugal idhaik kadaippidithana.
அன்பழகன் தனக்கு உதவுவது வரவேற்கத்தக்கது என்றும், ஆனால் அவர் தனியாக நீதிமன்றத்தில் வாதாடுவதை தான் ஏற்கமுடியாது எனவும் பவானி சிங் கூறினார்.	Anbazhagan thanakku udhavuvadhu varaverkathakkadhu enrum, aanaal avar thaniyaga needhimanrathil vaadhaaduvadhai than erkamudiyaadhu enavum bavani singh koorinaar.
இது தற்பொழுது அருங்காட்சியமாக செயல்பட்டுவருகிறது.	idhu tharpozhudhu arungaatchiyamaaga seyalpattuvarugiradhu.
சுமார் 400 பேர்கள் அமரக்கூடிய அளவிலான திறந்தவெளி அரங்கம் உள்ளது.	Sumaar 400 pergal amarakkoodiya alavilaana thirandhaveli arangam ulladhu.
இன்றைய தினத்தில் நூறு டோலர்களிற்கு மதிக்கத்தக்க கையடக்க தொலைபேசிகளில் கூட இந்த தொழில்நுட்பத்தை காண கூடியதாக உள்ளது.	inraiyia dhinathil nooru dolargalirku madhikkathakka kaiyadakka tholaipesigalil kooda indha thozhilnutpathai kaana koodiyadhaaga ulladhu.
அதிபத்த நாயனாரின் குருபூசை ஆண்டுதோறும் ஆவணி மாதம் ஆயில்யம் நட்சத்திரத்தில் கொண்டாடப்படுகிறது.	Adhipatha naayanaarin guruboosai aanduthorum aavani maadham aayilyam natchathirathil kondaadappadugiradhu.
தேயிலை முதலில் சீனாவில் கண்டு பிடிக்கப்பட்டது.	Theyilai mudhalil chinavil kandu pidikkappattadhu.
இது உணவு சேமித்தல், நீர் சேமித்தல், ஒளித்தொகுப்ப், போன்ற பல தொழில்கலைப் புரிகின்றது.	Idhu unavu semithal, neer semithal, olithogupp ponra gy thozhilgalaip puriginradhu.
இது சீரான தளத்தைக் கொண்ட கிடையான படைகளினால் ஆனது.	Idhu seeraana thalathaik konda kidaiyaana padaigalinaal aanadhu.
பறவைகள் ,என் .ஸ்ரீனிவாசன் வித்யா பப்ளிகேஷன் ,டிசம்பர் 2000	Paravaigal en srinivasan vidhya publication december 2000
இரவு நேரங்களில் இவை பயன்படுகின்றன.	Iravu nerangalil ivai payanbaduginrana.
இந்த நேரத்தில் பிறக்கும் ஒருவர் "பரிகம்" யோகத்தைத் தனது பிறந்த யோகமாகக் கொண்டிருப்பார்.	Indha nerathil pirakkum oruvar "parigam" yogathaith thanadhu pirandha yogamaagak kondiruppaar.
யாங்க்-மில்ஸ் கேஜ் கோட்பாடுகள், சூப்பர்ஸெமெமிமெட்ரி, மிகுந்த குவிமையம், குடல்நெறி மற்றும் ஒக்னோனியன் அல்ஜெப்ராஸ், சுழல் கட்டமைப்புகள், ஈர்ப்பு விசையின் பொதுவான கோட்பாடுகள், அண்டவியல் தீர்வுகள், ஒருங்கிணைந்த அமைப்புகள் மற்றும் கட்ட இடைவெளி கமிஷன் ஆகியவை அவருடைய ஆராய்ச்சி நலன்களாகும்.	Yong-Mills cage kotpaadugal, supersemimetri, migundha kuvimaiyam, kudalneri matrum Oknonian Algebras, suzhal kattamaippugal, eerppu visaiyin podhuvaana kotpaadugal, andaviyal theervugal, orunginaindha amaippugal matrum katta idaiveli commission aagiyavai avarudaiya aaraychi nalangalaagum.
அதற்கு முன்பு அசாம் காடுகளில் தான் பெரும்பாலும் தேயிலை விளைந்தது.	Adharku munbu Assam kaadugalil thaan perumbaalum theyilai vilaindhathu.
சாம்பியாவில் அரசுத்தலைவர் தேர்தல் நடைபெற்றது. (ஏஎஃப்பி)	Saambiyavil arasuthalaivar therdhal nadaipetradhu. (AFP)
20 மொழிகளுக்கு மேல் இவருடைய படைப்புகள் மொழியாக்கம் செய்யப் பெற்றுள்ளன.	20 mozhigalukku mel ivarudaiya padaippugal mozhiyaakkam seyyap petrullana.
ஏற்கெனவே இருக்கும் கட்டிடங்களை ஆவணப்படுத்துவதற்கும் அக்கட்டிடங்களை அளந்து கட்டிடக்கலை வரைபடங்களை வரைவது உண்டு.	Erkanave irukkum kattidangalai aavanappaduthuvadharkum akkattidangalai alandhu kattidakkalai varaipadangalai varaivadhu undu.
இத்தகைமை யோடுஇனிய சித்தன்உலவிப் பழைமை எய்தும் இடம் உற்றனரே	Iththagaimai yoduiniya chithanulavip pazhaimai eidhum idam utranare.
இந்த நீர்ச்சந்திக்கு வடக்கில் மலேசிய பெருநிலப் பகுதியும் தெற்கில் சிங்கப்பூர் தீவும் உள்ளன.	Indha neerchandhikku vadakkil malaysiya perunilap pagudhiyum therkil singapore theevum ullana.
இப்படத்திற்கு ஹாரிஷ் ஜயராஜ் இசையமைக்க, பின்னணி இசையை அனிருத் ரவிச்சந்திரன் அமைத்தார்.	Ippadathirku Harish Jayaraj isaiyamaikka, pinnani isaiyai Aniruth Ravichandiran amaithaar.
