కృష్ణాష్టమి నాడు భక్తులు పగలంతా ఉపవాసం ఉండి, సాయంత్రాం శ్రీకృష్ణుని పూజిస్తారు.	Krishnashtami naadu bhakthulu pagalantha vupavaasam vundi, saayanthram shreekrishnuni poogistharu.
డంకన్ జలసంధికి పడమరలో (పశ్చిమాన) బంగాళా ఖాతం ఉంది.	duncan jalasandhiki padamaralo (paschimaana) Bangala Khaatam vundi.
. అదే పీడన ప్రవణత రెండు రకాలు ఉన్నప్పటికీ ద్రవం ఉత్సర్గ రేటు తరచుగా భిన్నంగా ఉంటుంది.	. ade peedana pravanata rendu rakaalu unnappatikee dravam utsarga retu tarachugaa bhinnangaa vuntundi.
పరశురాముడు తన పరశువు (గొడ్డలి) ను సముద్రంలోకి విసరివేయగా, ఆయనపై గౌరవంతో అంతవరకు సముద్రుడు వెనుకకు తగ్గాడు.	Parasuramudu tana parasuvu (goddali) nu samudramloki visariveyagaa, aayanapai gauravamto antavaraku samudrudu venukaku taggaadu.
క్రమంగా పుంజుకుని ప్రజాదరణ పొంది వందరోజుల చిత్రంగా నిలిచింది.	kramangaa punjukuni pragaadarana pondi vandarogula chitrangaa nilichindi.
జెన్ పబ్లికేషన్స్ లో ఆయన గూర్చి వ్యాసం	Jen publications lo aayana goorchi vyaasam
రాలిపోయె పువ్వా నీకు రాగాలెందుకే...	raalipoye puvvaa neeku raagaalenduke...
ఈ సినిమాలో పాటలన్ని ఎం.	ee cinemalo paatalanni M.
ఇస్లాం అనునది సిల్మ్ అనే అరబ్బి పదం నుండి వచ్చింది దీని అర్థం శాంతి, ముస్లిం అనగా అల్లాహ్‌కి తన విధేయత ప్రకటించిన వ్యక్తి అని అర్ధం.	islaam anunadi silm ane arabbi padam nundi vachchindi deeni artham saanti, muslim anagaa allaahki tana vidheyata prakatinchina vyakti ani ardham.
ప్రస్తుత పురాతన సముద్రతీర నగరమైన టార్షిహ్ భూభాగంలో ఏనుగుదంతాలు, నెమళ్ళు ఇతర విలువైన వస్తువులు పుష్కలంగా లభిచాయని సోలాన్ రాజు చెప్పాడని ఐరోపా చరిత్రకారుడు జేంస్ ఎమర్సన్ వర్ణించాడు.	prastuta puraatana samudrateera nagaramaina taarshih bhoobhaagamlo enugudantaalu, nemallu itara viluvaina vastuvulu pushkalangaa labhichaayani solaan raaju cheppaadani airopaa charitrakaarudu James emarsan varninchaadu.
చేతిలోని గింజలన్నీ అయిపోతే ఆ తరువాత గుంట (ఈ గుంట ఎవరిదైనా కావచ్చు) లోని రాళ్లను తీసి పంచడం కొనసాగిస్తారు.	chetiloni ginjalannee ayipote aa taruvaata gunta (ee gunta evaridainaa kaavachchu) loni raallanu teesi panchadam konasaagistaaru.
దాని గురించి ఎవరూ రాక పోగా చివరకు అది కర్రెక్క సొంతమై పోయింది.	daani gurinchi evaroo raaka pogaa chivaraku adi karrekka sontamai poyindi.
పైనచెప్పిన బ్రాహ్మణుడిని చంపినదోషం పోవడానికి తాను చేసినపని చెప్పుకుంటూ బిక్షాటన చేస్తూ ఒక్క సారి మాత్రమే భుజిస్తూ, బ్రహ్మచర్యం అవలంభిస్తూ, నేలమీద నిద్రిస్తూ 12 సంవత్సరాలు నియమనిష్టలతో జీవితం గడపాలి.	painacheppina braahmanudini champinadosham povadaaniki taanu chesinapani cheppukuntoo bikshaatana chestoo okka saari maatrame bhujistoo, brahmacharyam avalambhistoo, nelameeda nidristoo 12 samvatsaraalu niyamanishtalato jeevitam gadapaali.
వీటికి కళ్ళుగానీ, పిగ్మెంటేషన్ కానీ అవసరం లేదు.	veetiki kallugaanee, pigmentation kaanee avasaram ledu.
సాధారణంగా జంటగానూ,అప్పుడప్పుడూ 10 అంతకన్నా ఎక్కువ గుంపులలోనూ కనిపిస్తుంది.	saadhaaranangaa jantagaanoo,appudappudoo 10 antakannaa ekkuva gumpulalonoo kanipistundi.
వైష్ణవ ఉపపురాణాలు విష్ణుధర్మ పురాణం, విష్ణుధర్మోత్తర పురాణం, నరసింహ పురాణం, బృహన్నారదీయ పురాణం మరియు క్రియాయోగేశ్వర పురాణం వంటివి అత్యంత ముఖ్యమైన గ్రంధాలు.	vaishnava upapuraanaalu vishnudharma puraanam, vishnudharmottara puraanam, narasimha puraanam, bruhannaaradeeya puraanam mariyu kriyaayogesvara puraanam vantivi atyanta mukhyamaina grandhaalu.
సమాహారం అనగా సమూహం అని అర్ధం.	samaahaaram anagaa samooham ani ardham.
మాధవార్	maadhavaar
కణతి పరిమితిలో రేడియో ధార్మికతను హెచ్చు చేసుకోవడానికీ, అదే సమయంలో చుట్టుపట్ల ఉండే వ్యాధికి గురికాని ఆరోగ్యంగా ఉన్న కణజాలముపై రేడియో ధార్మికత ప్రభావాన్ని తగ్గించడానికీ లేదా పూర్తిగా లేకుండా చేయడానికీ వీలుంటుంది.	kanati parimitilo radio dhaarmikatanu hechchu chesukovadaanikee, ade samayamlo chuttupatla unde vyaadhiki gurikaani aarogyangaa vunna kanajaalamupai radio dhaarmikata prabhaavaanni tagginchadaanikee ledaa poortigaa lekundaa cheyadaanikee veelvuntundi.
చెవిపోగు	chevipogu
అందుకే ఈ ప్రాంత నాగరీకుల్లో వీరు నరమాంసభక్షకులనే అపోహ, దుష్ప్రచారమూ ఉంది.	anduke ee praanta naagareekullo veeru naramaamsabhakshakulane apoha, dushprachaaramoo vundi.
శ్రీకాంత్	Sreekant
ఈ చికిత్సను మాత్రం ఒకేసారి చేస్తారు.	ee chikitsanu maatram okesaari chestaaru.
పెద్ద మరియు భారీ	pedda mariyu bhaaree
ఇద్దరూ ధర్మతత్పరులు.	iddaroo dharmatatparulu.
ఆ విధంగా శాస్త్రి ఆమె సొదరీమణులతో కలసి తాతగారైన హజారీ లాల్ ఇంటి వద్ద పెరిగాడు.	aa vidhangaa Sastri aame sodareemanulato kalasi taatagaaraina hagaaree laal inti vadda perigaadu.
లేక లేక కలిగిన బిడ్డ వీడు.	leka leka kaligina bidda veedu.
పత్రిక కార్యాలయానికి వెళ్ళి కలం కాగితం తీసుకుని అక్కడిక్కడే కథ రాసి ఇచ్చి డబ్బులు తీసుకుని వెళ్ళిపోయేవాడు.	patrika kaaryaalayaaniki velli kalam kaagitam teesukuni akkadikkade katha raasi ichchi dabbulu teesukuni vellipoyevaadu.
గవర్నర్ జనరల్ వెల్లెస్లీ టిప్పుసుల్తానుకు వ్రాసిన లేఖలో ఫ్రెంచి వారు చేసిన అనేక కార్యములను, తీరును మహమ్మదీయ మత విరుధ్దమైన కొన్ని సంఘటనలు ఉల్లేఖించాడు.	governor general Wellesley tippusultaanuku vraasina lekhalo Frenchi vaaru chesina aneka kaaryamulanu, teerunu mahammadeeya mata virudhdamaina konni sanghatanalu ullekhinchaadu.
గాసోలిన్ వాల్యూమ్ ద్వారా 1.4% తక్కువ పేలుడు పరిమితిని మరియు 7.6% శాతం ఎగువ పేలుడు పరిమితి ఉంటుంది.	gasolin volume dvaaraa 1.4% takkuva peludu parimitini mariyu 7.6% saatam eguva peludu parimiti vuntundi.
ఈ రోజు ఈ పద్దతులు, ఔషదాలు లేదా వాణిజ్య పాలిమర్లువంటి ఒక విస్తారమైన వివిధ ఉపయోగకరమైన రసాయనాలను ఉత్పత్తి చెయ్యటానికి వినియోగించబడుతున్నాయి.	ee roju ee paddatulu, aushadaalu ledaa vaanijya paalimarluvanti oka vistaaramaina vividha vupayogakaramaina rasaayanaalanu utpatti cheyyataaniki viniyoginchabadutunnaayi.
ఇది ఆయన కృత్రిమ మేథస్సు రంగంలో చేసిన కృషికి ఇవ్వబడింది.	idi aayana krtrima methassu rangamlo chesina krushiki ivvabadindi.
ప్రపంచంలోని ప్రముఖ సార్వత్రిక విశ్వవిద్యాలయాలను పరిశీలించి సార్వత్రిక వ్యవస్థకు ఒక చక్కని నమూనా తయారుచేసి తొలిసారిగా ఆసియా అభివృద్ధి బ్యాంకు ఏర్పాటుచేసిన అంతర్జాతీయ సదస్సులో ప్రకటించారు.	prapanchamloni pramukha saarvatrika visvavidyaalayaalanu pariseelinchi saarvatrika vyavasthaku oka chakkani namoonaa tayaaruchesi tolisaarigaa aasiyaa abhivruddhi banku erpaatuchesina antarjaateeya sadassulo prakatinchaaru.
