තන්ත්‍රයන්ට අනුව මහා තත්ත්වය (පරබ්‍රහ්මන්) ද්විත්වයන් මත රඳා පවතී.	Thanthrayanta anuwa maha thathwaya (parabrahman) dwithwayan matha randa pawathee.
රොසෙන්බර්ග් තව දුරටත් පුකාශ කර සිටින්නේ ඔහු අහිංසාවාදී සන්නිවේදනය සංවර්ධනය කළේ තමන් “ආදරණීය වූ දිව්‍යමය වූ ශක්තිය” ලෙස හඳුන්වන දෙය පිළිබඳව අවබෝධය ලබා දීමට බවයි.	Rosenberg thawa duratath prakasha kara sitinne ohu ahinsawadee sanniwedanaya sanwardanaya kale thaman 'adaraneeya wu divyamaya vu shakthiya lesa handunwana deya pilibandawa awabodaya laba deemata bhawai.
මාම්පුරි සුළං විදුලි බල උද්‍යානය ශ්‍රී ලංකාවේ ඉදිකල, මෙගාවොට් 10 ක විදුලි ජනන ධාරිතාවක් සහිත පළමු සුළං විදුලි බල උද්‍යානයයි.	Mampuri sulan viduli bala udyanaya sri lankawe idikala, megavot 10 ka viduli janana dharithawak sahitha palamu sulan viduli bala udyanayai.
කාබන් කෙඳි	Carbon kendi
චාමර වීරසිංහ එල්ලේ ක්‍රීඩා ශුරතාවයන් රැසක්ම දිනා ඇති ක්‍රීඩකයෙකි.	Chamara Weerasinghe elle kreeda shoorathawayan resakma dina athi kreedakayeki.
රණකාමියකු, පාලකයකු, සෙන්පතියකු, කවියකු, සංගීතඥයකු වූ ඔහු පරාර්ථකාමී රජකු විය.	Ranakamiyaku, palakayaku, senpathiyaku, kaviyaku, sangeethagnayeku wu ohy pararthakami rajaku wiya.
ඒ ඕවරයකට ලකුණූ 36 ක් ලබා ගැනීමෙනි.	E owarayakata lakunu 36 k laba ganeemeni.
මෙමගින් චංචල වස්තූන් රූපගත කල නොහැකිය.	Memagin chanchala wasthun roopagatha kala nohakiya.
(ඉහත සියලු දෙනාම රූපවාහිනී කතාමාලාවේ පෙනීසිටියේ සිය චිත්‍රපට ප්‍රවර්ධනය කරනු සඳහා ය)	(Ihatha siyalu denama rupavahini kathamalawe peneesitiye siya chithrapata prawardanaya karanu sandaha ya)
මේ හිස්කබල් කොටස කාලනීර්ණයට ලක් කලාම ලැබෙන දත්ත අනුව එය වසර මිලියන 50 කට වඩා පැරණියි.	Me hiskabal kotasa kalanirnayata lak kalama labena daththa anuwa eya wasara milion 50 kata wada peraniy.
ශාස්ත්‍රීය විෂය මාලාවට නියමිත විෂයයන් නියමිත කාලපරිච්ඡේදවලදී අවසන් කිරීමට ඔවුහු යුහුසුළු වෙති.	Shasthriya wishaya malawata niyamitha wishayayan niyamitha kalaparichchedawaladi awasan kireemata owhu yuhusulu wethi.
චලන ග්‍රහණය උදෙසා දියුණු කර ඇති සලකුණු කරන තැති පද්ධති වලදී ,එම වස්තුවලට විශේෂිත උපකරණ අවශ්‍යනොවේ.	Chalana grahanaya udesa diyunu kara athi salakunu karana thathi paddhathiwaladee, ema wasthuwalata visheshitha upakarana awashya nowe.
ප්‍රජාපත්‍ර කලාවේදය පිළිබදව අදහස,පත්‍රකලාවේදයේ නව සංවර්ධනයන්ට අදාල වී ඇත.	Prajapathra kalawedaya pilibandawa adahasa,pathrakalawedaye nawa sanwardanayanta adala wee atha.
පූර්ව මධ්‍යවණ්ටනය: උපඋරෝස්ථික තයිරොයිඩ් ගලගණ්ඩය, ලිම්ෆෝමා, තයිමෝමා, සහ ටෙරටෝමාව.	Poorwa madyawantanaya: Upaurosthika thairoid galagandaya, limforma, thaimoma and teratomawa
ආගම් 'බැතිමතුන්ගේ ඉස්ලාම් සම්භවය හා අරාබි අර්ධද්වීපය පැතිර විට, 7 වැනි සියවසේ සිට එකිනෙකා සමග අදහස් හුවමාරු කරගත්තේය ඇත.	Agam 'bathimathunge islam sambhawaya ha arabi ardadweepaya pathira wita, 7 weni siyawase sita ekineka samaga adahas huwamaru karagattheya etha.
ඉන්පසු ජලයට වැටෙන ඉස් ගෙඩියෝ පරිණත තත්වයට පැමිණෙන තුරු තවදුරටත් වැඩෙති.	Inpasu jalayata wetena is gediyo parinatha thathwayata paminena thuru thawaduratath wedethi.
මකර රුව සහිත මකර තොරණ ශ්‍රී ලංකාවේ බෞද්ධ කැටයම් කලාවේ වාස්තු ශිල්පීය කලා කෞශල්‍යය මොනවට විහිදා දක්වන සුවිශේෂී අංගයක් ලෙස සැළකේ.	Makara ruwa sahitha makara thorana Sri Lankawe Bauddha ketayam kalawe wasthu shilpeeya kala kaushalya monawata wihida dakwana suvisheshi angayak lesa selake.
ජනගඟ කැලඹිණි.	Janaganga kelambini.
වඩා නූතන කාලයේ දී වේගයෙන් ව්‍යාප්ත වන රසායනික කර්මාන්තවලට ස්ඵටීකරණයේ ගතිකය පිළිබඳ දැඩි ඉගෙනීමක් අවශ්‍ය වේ.	Wada noothana kalaye di wegayen viyaptha wana rasayanika karmanthawalata spatikaranaye gathikaya pilibanda dedi igeneemak awashya we.
සෙනෝසොයික අවධිය යනු ක්ශීරපායින්ගෙ කූටප්‍රාප්තිය සිදුවු අවධිය.	Senosoika awadiya yanu ksheerapainge kootaprapthiya siduwoo awadiyayi.
බෞද්ධ සංගමය	Bauddha Sangamaya
අයිපීඑල් යූටියුබ් ඔස්සේ සජීවීව විකාශය වන ලොව ප්‍රථම ක්‍රීඩා උළෙල බවට පත්විය.	IPL Youtube osse sajeeweewa wikashaya wana lowa prathama kreeda ulela bawata pathwiya.
සැරිසර මගින් නුවරඑළිය හා ආසන්න සංචාරක පුරවරයන්හි විස්තර සහ සිරිලක පුරා විවිධ වූ විනෝද චාරිකා ගමන් කිරීමට අදාල මග පෙන්වීම සහ නොමිලයේ උපදෙස් ලබාදීම සිදුකරයි.	Serisara magin nuwaraeliya ha asanna sancharaka purawarayanhi wisthara saha sirilaka pura wiwida wu vinoda charika gaman kireemata adala maga penweema saha nomilaye upades labadeema sidukarai.
“වැවයි දාගැබයි - ගමයි පන්සලයි” යන සංස්කෘතික සංකල්පය බිහි වූයේ එතැන් සිටය.	Wewai Dagabai - Gamai Pansalai' yana sanskruthika sankalpaya bihi wuye ethan sitaya.
"ගූගල් පෙළින් කථනයට" යනු ගූගල් සමාගම විසින් සංවර්ධනය කළ තිර කියවනයකි.	Google pelin kathanayata' yanu Google samagama wisin sanwardanaya kala thira kiyawanayaki.
ඉස්ලාමම් ආගමේ අල් කුරාණයේ හතරවන පරිඡ්චේදයේ සුරාව 34 අනුව පුරුෂයො ස්ත්‍රීන් කෙරෙහි පරිපාලකයෝය.	Islam agame al kuranaye hatharawana parichchedaya surawa 34 anuwa purushayo sthreen kerehi paripalakayoya.
ඇම්නෙස්ටි ඉන්ටර්නැෂනල්, එජා, යුරෝපියානු සංගමය සහ, ගේට්ස්ටන් ආයතනය විසින් ඇය සහා අභයදානය දිනාගැනුමෙහි ප්‍රයත්නයක යෙදිණි.	Amnesti International, UN, European sangamaya saha, Gatestan ayathanaya wisin aya saha abhayadanaya dinaganumehi prayathnayaka yedini.
අපිට පුළුවන් නම් මේක දෘශ්‍ය පරාසයට ගෙන්න මේක තවත් නිරවද්‍ය වෙනවනේ ද?	Apita puluwan nam meka drushya parasayata genna meka thawatha nirawadya wenawane da?
සංයුජ බන්ධනය - විද්‍යාවට අදාළ රසායනික විපර්‍යාස...	Sanyuja bandhanaya - vidyawata adala rasayanika wiparyasa…
බුද්ධත්වයෙන් අටවැනි වර්ෂයෙහිදී බුදුරජාණන්වහන්සේ මෙම ස්ථානයට වැ‍ඩ මොහොතක් සමවත් සුවයෙන් ගතකල බව කියැවේ.	Buddhathwayen ataweni warshayehidi budurajananwahanse mema sthanayata weda mohothak samawath suwayen gathakala bawa kiyawe.
එම නිසා සුඩාන රාජ්‍ය වෙත යුධ අපරාධ චෝදනා එල්ලවූ අතර, 2008 මාර්තු 4 වැනි දින ජාත්‍යන්තර යුධ අධිකරණය යුධ අපරාධ හා මානව අපරාධ හේතුවෙන් ජනාධිපති ඔමාඅල්, බාෂිර් අත්අඩංගුවට ගැනීමට වරෙන්තුවක් නිකුත් කෙරිණි.	Ema nisa Sudana rajya wetha yuda aparada chodana ellawu athara, 2008 marthu 4 weni dina jathyanthara Yuda adikaranaya yuda aparada ha manawa aparada hethuwen janadhipathi omaal, bashir athadanguwata ganeemata warenthuwak nikuth kerini.
බොහෝ ගුවන් විදුලි විකාශනවල ප්‍රවෘති විකාශනය මිනිත්තු 0-06 දක්වා දිවෙයි.	Boho guwan widuli wikashanawala prawurthi wikashanaya miniththu 0-06 dakwa diwei.
එතුමිය සියල්ල තුල ත්‍රිත්වාකාරයෙන් වැඩ සිටින්නිය.	Ethumiya siyalla thula thrithwakarayen weda sitinneeya.
මෙහි යම් තැනැත්තෙකු විසින් ඔහුගේ භාර්යාව සහ දරුවන් අනාථ බවට හෝ නඩත්තුවෙන් තොර බවට පත් ‍කෙරෙන විධි විධාන ඇතුලත් කරන ලදී.	Mehi yam theneththeku wisin ohuge bharyawa saha daruwan anatha bawata ho nadaththuwen thora bhawata path kerena widi widhana athulath karana ladee.
චන්ද්‍රයාගේ පළමු සිතියම මුල්වරට අඳිනු ලැබූයේ බෙල්ජියානු ජාතික විශ්ව රූපකයෙක් හා අභ්‍යවකාශ විද්‍යාඥයෙක් වූ මයිකල් ෆ්ලොරන්ට් විසින් වසර 1645 දීය.	Chandrayage palamu sithiyama mulwarata andinu labuye belgiyanu jathika wishwa roopakayek ha abhyawakasha vidyagnayek wu micahel florant wisin wasara 1645 deeya.
